"","census_county_fips","primary16_clinton","primary16_sanders"
"1592",12019,0.571,0.395
"1593",53037,0.226,0.774
"1594",4013,0.581,0.398
"1595",37021,0.354,0.621
"1596",51193,0.745,0.25
"1597",29107,0.462,0.522
"1598",26069,0.461,0.514
"1599",5055,0.655,0.31
"1600",5061,0.765,0.185
"1601",1067,0.856,0.119
"1602",48417,0.5,0.467
"1603",21105,0.325,0.466
"1604",17153,0.624,0.346
"1605",27157,0.465952381,0.464285714
"1606",13269,0.877,0.114
"1607",18055,0.426,0.574
"1608",19099,0.515,0.45
"1609",51107,0.586,0.407
"1610",49015,0.257,0.653
"1611",21039,0.256,0.575
"1612",54033,0.382,0.491
"1613",39175,0.497,0.486
"1614",38167,0.444583333,0.477083333
"1615",53001,0.261,0.739
"1616",13083,0.503,0.48
"1617",23005,0.476216216,0.466756757
"1618",37049,0.581,0.357
"1619",19059,0.488,0.512
"1620",22043,0.486,0.327
"1621",47091,0.516,0.469
"1622",38103,0.444583333,0.477083333
"1623",50003,0.180012608,0.81997522
"1624",22015,0.665,0.27
"1625",5001,0.833,0.152
"1626",40115,0.393,0.501
"1627",32023,0.588,0.406
"1628",39103,0.531,0.463
"1629",30111,0.502,0.447
"1630",8045,0.368,0.615
"1631",18109,0.426,0.574
"1632",51065,0.576,0.418
"1633",40095,0.303,0.56
"1634",46049,0.524,0.476
"1635",23003,0.481111111,0.443333333
"1636",37153,0.571,0.31
"1637",48135,0.649,0.33
"1638",27055,0.465952381,0.464285714
"1639",31025,0.466,0.534
"1640",2020,0.251236319,0.747865976
"1641",29121,0.437,0.524
"1642",48249,0.716,0.219
"1643",29089,0.488,0.482
"1644",38035,0.545,0.42
"1645",13317,0.821,0.165
"1646",40089,0.283,0.523
"1647",55047,0.429,0.566
"1648",48497,0.562,0.418
"1649",13237,0.802,0.19
"1650",41025,0.401,0.599
"1651",13151,0.777,0.219
"1652",51700,0.73,0.266
"1653",41021,0.502,0.498
"1654",30075,0.414,0.586
"1655",12039,0.764,0.2
"1656",27153,0.465952381,0.464285714
"1657",40061,0.328,0.519
"1658",26013,0.404,0.555
"1659",13157,0.614,0.375
"1660",20167,0.478978495,0.459301075
"1661",42023,0.417,0.54
"1662",40029,0.19,0.636
"1663",40051,0.342,0.562
"1664",31043,0.434,0.566
"1665",48165,0.558,0.362
"1666",37155,0.51,0.314
"1667",29211,0.598,0.378
"1668",19175,0.463,0.537
"1669",47013,0.667,0.307
"1670",34023,0.611,0.389
"1671",46007,0.438,0.562
"1672",28019,0.839,0.151
"1673",8009,0.319,0.298
"1674",29081,0.485,0.5
"1675",18129,0.448,0.552
"1676",51145,0.644,0.353
"1677",39137,0.453,0.523
"1678",47055,0.732,0.252
"1679",48465,0.657,0.284
"1680",55137,0.438,0.557
"1681",18165,0.451,0.549
"1682",6085,0.605,0.388
"1683",37087,0.445,0.46
"1684",39019,0.514,0.462
"1685",5111,0.724,0.23
"1686",51135,0.781,0.211
"1687",48395,0.709,0.23
"1688",24029,0.551,0.384
"1689",36011,0.473,0.527
"1690",40151,0.338,0.565
"1691",47179,0.458,0.531
"1692",29123,0.494,0.476
"1693",17199,0.422,0.553
"1694",22059,0.302,0.408
"1695",34035,0.616,0.384
"1696",48279,0.533,0.269
"1697",26011,0.461,0.514
"1698",47153,0.561,0.423
"1699",36105,0.439,0.561
"1700",36111,0.374,0.626
"1701",22035,0.88,0.081
"1702",31093,0.589,0.411
"1703",48349,0.725,0.253
"1704",32015,0.29,0.696
"1705",48391,0.642,0.296
"1706",21017,0.465,0.456
"1707",51143,0.752,0.243
"1708",36039,0.421,0.579
"1709",28149,0.844,0.149
"1710",33007,0.356283186,0.643716814
"1711",54055,0.345,0.514
"1712",26041,0.433,0.524
"1713",51670,0.774,0.222
"1714",55025,0.373,0.626
"1715",31075,0,0
"1716",17087,0.451,0.525
"1717",47105,0.605,0.376
"1718",48021,0.591,0.397
"1719",22125,0.801,0.147
"1720",9011,0.440137663,0.549827081
"1721",56023,0.5,0.5
"1722",29099,0.442,0.543
"1723",28101,0.835,0.152
"1724",13123,0.53,0.457
"1725",19153,0.532,0.462
"1726",51183,0.905,0.093
"1727",19177,0.467,0.533
"1728",2110,0.198489322,0.801495829
"1729",48101,0.565,0.391
"1730",56039,0.4,0.6
"1731",31085,1,0
"1732",29125,0.502,0.479
"1733",46025,0.566,0.434
"1734",6015,0.425,0.554
"1735",37009,0.464,0.459
"1736",20123,0.478978495,0.459301075
"1737",26145,0.552,0.43
"1738",47009,0.531,0.458
"1739",8069,0.326,0.672
"1740",29001,0.407,0.588
"1741",19025,0.5,0.5
"1742",20101,0.478978495,0.459301075
"1743",11065,0.779895432,0.21008905
"1744",31107,0.61,0.39
"1745",13231,0.684,0.307
"1746",29035,0.486,0.5
"1747",48265,0.584,0.406
"1748",48285,0.685,0.291
"1749",17085,0.514,0.479
"1750",56027,0,1
"1751",12101,0.583,0.389
"1752",22021,0.564,0.269
"1753",42013,0.466,0.518
"1754",28161,0.842,0.149
"1755",19033,0.496,0.504
"1756",39163,0.495,0.477
"1757",28047,0.743,0.25
"1758",48485,0.552,0.435
"1759",37053,0.478,0.435
"1760",18025,0.526,0.474
"1761",13057,0.518,0.476
"1762",35028,0.504,0.496
"1763",27151,0.465952381,0.464285714
"1764",45033,0.841,0.152
"1765",5133,0.623,0.304
"1766",55031,0.439,0.554
"1767",28139,0.749,0.224
"1768",4023,0.658,0.318
"1769",55019,0.428,0.564
"1770",13135,0.662,0.334
"1771",2261,0.132474297,0.867457162
"1772",17179,0.447,0.545
"1773",46129,0.511,0.489
"1774",17163,0.569,0.422
"1775",35025,0.52,0.48
"1776",29015,0.533,0.452
"1777",48085,0.592,0.403
"1778",31013,0.375,0.625
"1779",36007,0.434,0.566
"1780",56005,0.333,0.667
"1781",21043,0.391,0.514
"1782",13033,0.895,0.099
"1783",16057,0.161,0.839
"1784",54019,0.338,0.523
"1785",55003,0.368,0.63
"1786",51620,0.882,0.11
"1787",27123,0.503333333,0.453333333
"1788",5071,0.623,0.342
"1789",46099,0.532,0.468
"1790",48055,0.652,0.327
"1791",2150,0.130457229,0.869528954
"1792",41045,0.48,0.52
"1793",42027,0.448,0.546
"1794",41011,0.439,0.561
"1795",48167,0.682,0.306
"1796",42101,0.626,0.37
"1797",40081,0.385,0.538
"1798",39043,0.553,0.436
"1799",48453,0.482,0.514
"1800",13307,0.895,0.095
"1801",33013,0.403136866,0.596863134
"1802",47103,0.673,0.303
"1803",55077,0.427,0.567
